,type_of_waste,continents,percentage
0,Organic,Africa,51.8
1,Organic,Europe,51.4
2,Organic,Europe,31.2
3,Organic,Asia,39.0
4,Organic,South America,38.74
5,Organic,Asia,57.0
6,Organic,Oceania,19.7
7,Organic,North America,46.0
8,Organic,Oceania,48.44
9,Organic,Europe,31.4
10,Organic,Asia,45.19
11,Organic,Africa,81.0
12,Organic,Europe,14.18
13,Organic,Africa,52.1
14,Organic,Africa,21.0
15,Organic,Asia,80.57999999999998
16,Organic,Europe,24.35
17,Organic,Asia,59.1
18,Organic,North America,46.0
19,Organic,Europe,30.0
20,Organic,North America,47.0
21,Organic,North America,17.0
22,Organic,South America,55.19691119691119
23,Organic,South America,51.4
24,Organic,North America,18.3
25,Organic,Asia,36.0
26,Organic,Asia,58.0
27,Organic,North America,24.0
28,Organic,Europe,29.0
29,Organic,South America,53.3
30,Organic,Asia,61.2
31,Organic,Africa,83.4
32,Organic,South America,59.58
33,Organic,Africa,50.0
34,Organic,North America,58.0
35,Organic,North America,68.9
36,Organic,North America,10.9
37,Organic,Asia,41.47
38,Organic,Europe,62.3
39,Organic,Europe,30.0
40,Organic,North America,45.0
41,Organic,Europe,12.78
42,Organic,North America,51.0
43,Organic,Africa,54.4
44,Organic,South America,58.67
45,Organic,Africa,56.0
46,Organic,Europe,49.0
47,Organic,Europe,36.7
48,Organic,Africa,87.6
49,Organic,Europe,35.88
50,Organic,Oceania,33.2
51,Organic,Europe,32.0
52,Organic,Oceania,23.83
53,Organic,Europe,16.7
54,Organic,Asia,39.0
55,Organic,Africa,67.0
56,Organic,Europe,24.57
57,Organic,Africa,58.0
58,Organic,Europe,40.0
59,Organic,North America,27.1
60,Organic,North America,42.8
61,Organic,Oceania,27.3
62,Organic,South America,50.1
63,Organic,Asia,35.0
64,Organic,North America,57.9
65,Organic,Europe,30.9
66,Organic,North America,61.3
67,Organic,Europe,22.5
68,Organic,Asia,53.8
69,Organic,Europe,16.6
70,Organic,Asia,72.9
71,Organic,Asia,68.7
72,Organic,Asia,34.0
73,Organic,Europe,34.4
74,Organic,North America,62.22
75,Organic,Asia,50.0
76,Organic,Asia,36.0
77,Organic,Asia,30.0
78,Organic,Africa,57.0
79,Organic,Asia,66.6
80,Organic,Oceania,43.6
81,Organic,North America,27.2
82,Organic,Asia,45.0
83,Organic,Asia,16.9
84,Organic,Asia,52.5
85,Organic,Africa,70.1
86,Organic,North America,45.0
87,Organic,Europe,37.6
88,Organic,Asia,62.0
89,Organic,Europe,40.4
90,Organic,Europe,30.0
91,Organic,Europe,46.7
92,Organic,Asia,3.1
93,Organic,Africa,60.0
94,Organic,Europe,55.0
95,Organic,North America,52.4
96,Organic,Oceania,8.0
97,Organic,Europe,29.3
98,Organic,Africa,17.5
99,Organic,Europe,52.0
100,Organic,Europe,33.82
101,Organic,Oceania,43.6
102,Organic,Africa,4.8
103,Organic,Asia,46.0
104,Organic,Oceania,43.6
105,Organic,Europe,35.0
106,Organic,Europe,15.49
107,Organic,Asia,52.39
108,Organic,Oceania,43.6
109,Organic,Oceania,28.0
110,Organic,Asia,30.0
111,Organic,North America,46.4
112,Organic,South America,50.43
113,Organic,Asia,52.31
114,Organic,Oceania,26.0
115,Organic,Europe,37.27
116,Organic,North America,13.1
117,Organic,Europe,36.49
118,Organic,Asia,59.1
119,Organic,Oceania,47.0
120,Organic,Asia,57.0
121,Organic,Europe,56.26
122,Organic,Europe,28.41
123,Organic,Asia,45.5
124,Organic,Africa,51.4
125,Organic,Africa,12.0
126,Organic,Asia,10.51
127,Organic,Oceania,42.8
128,Organic,North America,65.0
129,Organic,Europe,5.35
130,Organic,Europe,37.62
131,Organic,Europe,42.0
132,Organic,Africa,48.5
133,Organic,Asia,57.0
134,Organic,North America,21.8
135,Organic,Africa,70.0
136,Organic,Africa,38.0
137,Organic,Asia,65.52
138,Organic,Oceania,51.3
